"filename", "language", "YAML", "JSON", "C++", "Dart", "CMake", "Markdown", "HTML", "Swift", "XML", "Groovy", "Properties", "Java", "comment", "blank", "total"
"d:\Coding Projects\DOOID Files\dooid\README.md", "Markdown", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 9, 24
"d:\Coding Projects\DOOID Files\dooid\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\Coding Projects\DOOID Files\dooid\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 11, 14, 76
"d:\Coding Projects\DOOID Files\dooid\android\app\google-services.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"d:\Coding Projects\DOOID Files\dooid\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"d:\Coding Projects\DOOID Files\dooid\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 6, 1, 36
"d:\Coding Projects\DOOID Files\dooid\android\app\src\main\java\com\example\dooid\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"d:\Coding Projects\DOOID Files\dooid\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\Coding Projects\DOOID Files\dooid\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\Coding Projects\DOOID Files\dooid\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\Coding Projects\DOOID Files\dooid\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\Coding Projects\DOOID Files\dooid\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"d:\Coding Projects\DOOID Files\dooid\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"d:\Coding Projects\DOOID Files\dooid\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Coding Projects\DOOID Files\dooid\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\Coding Projects\DOOID Files\dooid\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
"d:\Coding Projects\DOOID Files\dooid\assets\images\transfer_topup\Back.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 1, 5
"d:\Coding Projects\DOOID Files\dooid\assets\images\transfer_topup\down.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Coding Projects\DOOID Files\dooid\assets\images\transfer_topup\slider_button.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Coding Projects\DOOID Files\dooid\assets\images\transfer_topup\ticketSuccess.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 19
"d:\Coding Projects\DOOID Files\dooid\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"d:\Coding Projects\DOOID Files\dooid\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\Coding Projects\DOOID Files\dooid\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\Coding Projects\DOOID Files\dooid\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
