Date : 2023-10-07 09:45:32
Directory : d:\Coding Projects\DOOID Files\dooid
Total : 86 files,  7256 codes, 307 comments, 616 blanks, all 8179 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         32 |      5,632 |         26 |        318 |      5,976 |
| C++        |         16 |        548 |        121 |        182 |        851 |
| XML        |         14 |        493 |         49 |         16 |        558 |
| JSON       |          5 |        277 |          0 |          4 |        281 |
| Groovy     |          3 |         95 |         11 |         24 |        130 |
| Swift      |          6 |         60 |          7 |         20 |         87 |
| YAML       |          2 |         42 |         77 |         18 |        137 |
| CMake      |          2 |         41 |          0 |         12 |         53 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| Markdown   |          2 |         18 |          0 |         11 |         29 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| Java       |          1 |          4 |          0 |          3 |          7 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         86 |      7,256 |        307 |        616 |      8,179 |
| . (Files)                                                                                          |          3 |         57 |         77 |         27 |        161 |
| android                                                                                            |         14 |        197 |         57 |         38 |        292 |
| android (Files)                                                                                    |          3 |         47 |          0 |         11 |         58 |
| android\app                                                                                        |         10 |        145 |         57 |         26 |        228 |
| android\app (Files)                                                                                |          2 |         80 |         11 |         14 |        105 |
| android\app\src                                                                                    |          8 |         65 |         46 |         12 |        123 |
| android\app\src\debug                                                                              |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                               |          6 |         59 |         38 |         10 |        107 |
| android\app\src\main (Files)                                                                       |          1 |         29 |          6 |          1 |         36 |
| android\app\src\main\java                                                                          |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\java\com                                                                      |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\java\com\example                                                              |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\java\com\example\dooid                                                        |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\res                                                                           |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                  |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                    |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                              |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                            |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                     |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                             |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                             |          4 |         28 |          1 |          4 |         33 |
| assets\images                                                                                      |          4 |         28 |          1 |          4 |         33 |
| assets\images\transfer_topup                                                                       |          4 |         28 |          1 |          4 |         33 |
| ios                                                                                                |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                         |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                 |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                    |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                         |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                      |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                    |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                              |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                |         31 |      5,618 |         16 |        311 |      5,945 |
| lib (Files)                                                                                        |          1 |         23 |          1 |          3 |         27 |
| lib\data                                                                                           |          2 |        328 |          0 |         36 |        364 |
| lib\screens                                                                                        |         18 |      4,640 |          4 |        219 |      4,863 |
| lib\screens (Files)                                                                                |          1 |        143 |          0 |          6 |        149 |
| lib\screens\authentication                                                                         |          5 |      1,156 |          0 |         51 |      1,207 |
| lib\screens\primary                                                                                |          6 |      1,863 |          3 |        107 |      1,973 |
| lib\screens\primary (Files)                                                                        |          4 |      1,675 |          2 |         89 |      1,766 |
| lib\screens\primary\qr                                                                             |          2 |        188 |          1 |         18 |        207 |
| lib\screens\transactions                                                                           |          6 |      1,478 |          1 |         55 |      1,534 |
| lib\screens\transactions\credit                                                                    |          2 |        563 |          0 |         17 |        580 |
| lib\screens\transactions\topup                                                                     |          2 |        497 |          1 |         22 |        520 |
| lib\screens\transactions\transfer                                                                  |          2 |        418 |          0 |         16 |        434 |
| lib\widgets                                                                                        |         10 |        627 |         11 |         53 |        691 |
| lib\widgets\etc                                                                                    |          6 |        570 |         11 |         41 |        622 |
| lib\widgets\etc (Files)                                                                            |          3 |        388 |          2 |         22 |        412 |
| lib\widgets\etc\topUpTransfer                                                                      |          3 |        182 |          9 |         19 |        210 |
| lib\widgets\shortcuts                                                                              |          4 |         57 |          0 |         12 |         69 |
| linux                                                                                              |          6 |        122 |         27 |         44 |        193 |
| linux (Files)                                                                                      |          3 |         86 |         18 |         27 |        131 |
| linux\flutter                                                                                      |          3 |         36 |          9 |         17 |         62 |
| macos                                                                                              |          6 |        452 |          5 |         16 |        473 |
| macos\Flutter                                                                                      |          1 |         14 |          3 |          4 |         21 |
| macos\Runner                                                                                       |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                               |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                  |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                       |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                    |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                            |          1 |        343 |          0 |          1 |        344 |
| test                                                                                               |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                |          2 |         73 |         16 |          7 |         96 |
